station_index,point_index,x_m,z_m,half_breadth_m
6,18,-0.4861849601988383,-0.0007861734066967634,0.002065026946320408
6,19,-0.4861849601988383,-0.0008588437081614626,0.001982765490027539
6,20,-0.4861849601988383,-0.000931964825630598,0.0018947635289718668
6,21,-0.4861849601988383,-0.0010050859430997335,0.001801396293963628
6,22,-0.4861849601988383,-0.0010777562445644328,0.0017031136056341286
6,23,-0.4861849601988383,-0.0011495276934508384,0.0016004369714241202
6,24,-0.4861849601988383,-0.0012199577949101375,0.0014939563046732266
6,25,-0.4861849601988383,-0.0012886123239464478,0.0013843263746806732
6,26,-0.4861849601988383,-0.001355068002558313,0.0012722631218178748
6,27,-0.4861849601988383,-0.0014189151093883352,0.0011585400074958837
6,28,-0.4861849601988383,-0.0014797600057915898,0.0010439846210123825
6,29,-0.4861849601988383,-0.0015372275627487698,0.0009294758443049401
6,30,-0.4861849601988383,-0.0015909634736613323,0.0008159419996667052
6,31,-0.4861849601988383,-0.0016406364387694975,0.0007043606082495887
6,32,-0.4861849601988383,-0.0016859402077254366,0.0005957607340424866
6,33,-0.4861849601988383,-0.0017265954677285042,0.0004912295132109725
6,34,-0.4861849601988383,-0.0017623515655815357,0.00039192566807892275
6,35,-0.4861849601988383,-0.001792988053051158,0.00029910529027835184
6,36,-0.4861849601988383,-0.0018183160460044552,0.00021417086356605814
6,37,-0.4861849601988383,-0.0018381793889424573,0.00013876937167215934
6,38,-0.4861849601988383,-0.0018524556177507206,7.501265783924624e-05
6,39,-0.4861849601988383,-0.0018610567147313137,2.610228219085148e-05
6,40,-0.4861849601988383,-0.0018639296512611963,0.0
7,0,-0.48122761822682364,-0.0,0.003772977802183524
7,1,-0.48122761822682364,-3.999813789239187e-06,0.0037728696170159907
7,2,-0.48122761822682364,-1.597459497487291e-05,0.0037720239667681844
7,3,-0.48122761822682364,-3.58505150488732e-05,0.003769578900250049
7,4,-0.48122761822682364,-6.35050323545694e-05,0.00376462677824739
7,5,-0.48122761822682364,-9.876764759671184e-05,0.003756252021476476
7,6,-0.48122761822682364,-0.0001414209550263232,0.0037435557033023226
7,7,-0.48122761822682364,-0.00019120198281943597,0.0037256748517568877
7,8,-0.48122761822682364,-0.00024780381438583416,0.0037017985280685837
7,9,-0.48122761822682364,-0.0003108774806118918,0.003671181493311737
7,10,-0.48122761822682364,-0.0003800341113712028,0.0036331558595089413
7,11,-0.48122761822682364,-0.0004548473330382229,0.0035871409547783436
7,12,-0.48122761822682364,-0.0005348558972234539,0.0035326515562162774
7,13,-0.48122761822682364,-0.0006195665245231467,0.0034693046061093783
7,14,-0.48122761822682364,-0.0007084569457508566,0.003396824506366451
7,15,-0.48122761822682364,-0.0008009791219006501,0.003315047074231755
7,16,-0.48122761822682364,-0.0008965626229898182,0.003223922235669294
7,17,-0.48122761822682364,-0.0009946181449494065,0.003123515529640621
7,18,-0.48122761822682364,-0.0010945411428797645,0.003014008496120304
7,19,-0.48122761822682364,-0.0011957155582708828,0.0028956980228411486
7,20,-0.48122761822682364,-0.0012975176172079679,0.0027689947304323586
7,21,-0.48122761822682364,-0.0013993196761450531,0.002634420483009425
7,22,-0.48122761822682364,-0.0015004940915361714,0.0024926051218270326
7,23,-0.48122761822682364,-0.0016004170894665295,0.0023442825340702876
7,24,-0.48122761822682364,-0.001698472611426118,0.002190286188479618
7,25,-0.48122761822682364,-0.0017940561125152858,0.002031544296300021
7,26,-0.48122761822682364,-0.0018865782886650796,0.001869074793293635
7,27,-0.48122761822682364,-0.0019754687098927893,0.001703980391636903
7,28,-0.48122761822682364,-0.002060179337192482,0.0015374440284463841
7,29,-0.48122761822682364,-0.002140187901377713,0.0013707251559196697
7,30,-0.48122761822682364,-0.002215001123044733,0.0012051575041411775
7,31,-0.48122761822682364,-0.002284157753804044,0.0010421492523553621
7,32,-0.48122761822682364,-0.0023472314200301022,0.0008831870666946147
7,33,-0.48122761822682364,-0.0024038332515965,0.0007298464050855151
7,34,-0.48122761822682364,-0.002453614279389613,0.0005838123017307673
7,35,-0.48122761822682364,-0.0024962675868192242,0.0004469186047134136
7,36,-0.48122761822682364,-0.002531530202061367,0.0003212222645608682
7,37,-0.48122761822682364,-0.002559184719367063,0.00020915189397333658
7,38,-0.48122761822682364,-0.0025790606394410632,0.0001138420335626282
7,39,-0.48122761822682364,-0.0025910354206266973,4.008517941324558e-05
7,40,-0.48122761822682364,-0.002595035234415936,0.0
8,0,-0.47552825814757677,-0.0,0.005211904389961443
8,1,-0.47552825814757677,-5.323948511923497e-06,0.005211766004589784
8,2,-0.47552825814757677,-2.1262970134725284e-05,0.0052106676208348674
8,3,-0.47552825814757677,-4.771879549983862e-05,0.005207462233210145
8,4,-0.47552825814757677,-8.452831564643252e-05,0.005200928775800224
8,5,-0.47552825814757677,-0.0001314645876423958,0.005189826532908353
8,6,-0.47552825814757677,-0.00018823823376297908,0.005172930328419803
8,7,-0.47552825814757677,-0.0002544992256006959,0.005149058016440037
8,8,-0.47552825814757677,-0.00032983904210685117,0.00511709332425736
8,9,-0.47552825814757677,-0.00041379318825965307,0.005076005249321167
8,10,-0.47552825814757677,-0.0005058440588304828,0.005024864598131799
8,11,-0.47552825814757677,-0.000605424129592251,0.00496285800813208
8,12,-0.47552825814757677,-0.0007119194562949773,0.004889299681274988
8,13,-0.47552825814757677,-0.0008246734598362496,0.004803641001394388
8,14,-0.47552825814757677,-0.0009429909742897253,0.004705478176523272
8,15,-0.47552825814757677,-0.0010661425328342324,0.004594558029234442
8,16,-0.47552825814757677,-0.0011933688651592955,0.004470782047413006
8,17,-0.47552825814757677,-0.0013238855786190814,0.004334208802183728
8,18,-0.47552825814757677,-0.0014568879942738998,0.0041850548379780885
8,19,-0.47552825814757677,-0.001591556108003447,0.004023694141576693
8,20,-0.47552825814757677,-0.0017270596461048883,0.003850656302419777
8,21,-0.47552825814757677,-0.0018625631842063297,0.003666623485851204
8,22,-0.47552825814757677,-0.001997231297935877,0.00347242635488482
8,23,-0.47552825814757677,-0.0021302337135906953,0.0032690390956481973
8,24,-0.47552825814757677,-0.0022607504270504815,0.003057573728656256
8,25,-0.47552825814757677,-0.002387976759375544,0.0028392739253905604
8,26,-0.47552825814757677,-0.0025111283179200515,0.002615508602004341
8,27,-0.47552825814757677,-0.002629445832373527,0.0023877656370489423
8,28,-0.47552825814757677,-0.0027421998359147995,0.002157646170839271
8,29,-0.47552825814757677,-0.002848695162617526,0.0019268601126638146
8,30,-0.47552825814757677,-0.002948275233379294,0.0016972237480246991
8,31,-0.47552825814757677,-0.003040326103950124,0.0014706607746766708
8,32,-0.47552825814757677,-0.003124280250102926,0.001249208845753929
8,33,-0.47552825814757677,-0.003199620066609081,0.001035035054021123
8,34,-0.47552825814757677,-0.0032658810584467977,0.0008304664019425638
8,35,-0.47552825814757677,-0.0033226547045673814,0.0006380467344682694
8,36,-0.47552825814757677,-0.003369590976563345,0.0004606441003041292
8,37,-0.47552825814757677,-0.0034064004967099383,0.0003016653711121786
8,38,-0.47552825814757677,-0.0034328563220750517,0.00016554027907317873
8,39,-0.47552825814757677,-0.0034487953436978538,5.910737998628503e-05
8,40,-0.47552825814757677,-0.003454119292209777,0.0
9,0,-0.4690956679612421,-0.0,0.006924842877150884
9,1,-0.4690956679612421,-6.846379323652073e-06,0.006924675599062272
9,2,-0.4690956679612421,-2.7343307089425617e-05,0.006923322439728692
9,3,-0.4690956679612421,-6.136441292172499e-05,0.006919327778476863
9,4,-0.4690956679612421,-0.00010869994538992782,0.006911120932979152
9,5,-0.4690956679612421,-0.000169058065195706,0.006897091567546878
9,6,-0.4690956679612421,-0.00024206664445934527,0.0068756382214578814
9,7,-0.4690956679612421,-0.00032727556101186926,0.006845206092171142
9,8,-0.4690956679612421,-0.0004241594735478916,0.006804318381063364
9,9,-0.4690956679612421,-0.0005321210605294575,0.006751602902908343
9,10,-0.4690956679612421,-0.0006504947028719547,0.006685814792159719
9,11,-0.4690956679612421,-0.0007785505877071115,0.006605855789891472
9,12,-0.4690956679612421,-0.0009154992079220161,0.006510790436471447
9,13,-0.4690956679612421,-0.0010604962297330062,0.0063998594152738664
9,14,-0.4690956679612421,-0.0012126476982842148,0.0062724902488536525
9,15,-0.4690956679612421,-0.0013710155491765258,0.006128305522999385
9,16,-0.4690956679612421,-0.001534623391946534,0.0059671287981495355
9,17,-0.4690956679612421,-0.0017024625298384334,0.00578898835840905
9,18,-0.4690956679612421,-0.0018734981787549441,0.005594118944443981
9,19,-0.4690956679612421,-0.002046675847045371,0.005382961617414049
9,20,-0.4690956679612421,-0.0022209278367972844,0.005156161906902372
9,21,-0.4690956679612421,-0.0023951798265491983,0.004914566406988321
9,22,-0.4690956679612421,-0.002568357494839625,0.004659218002092928
9,23,-0.4690956679612421,-0.0027393931437561356,0.0043913499295342
9,24,-0.4690956679612421,-0.0029072322816480357,0.0041123789213409504
9,25,-0.4690956679612421,-0.003070840124418043,0.0038238977177843603
9,26,-0.4690956679612421,-0.0032292079753103546,0.003527667315771617
9,27,-0.4690956679612421,-0.003381359443861563,0.003225609417341538
9,28,-0.4690956679612421,-0.003526356465672553,0.002919799694838773
9,29,-0.4690956679612421,-0.0036633050858874577,0.0026124627206357
9,30,-0.4690956679612421,-0.003791360970722615,0.0023059697752342502
9,31,-0.4690956679612421,-0.0039097346130651115,0.002002841349721979
9,32,-0.4690956679612421,-0.004017696200046678,0.0017057571945739954
9,33,-0.4690956679612421,-0.0041145801125827,0.001417578644860731
9,34,-0.4690956679612421,-0.004199789029135224,0.001141391576813805
9,35,-0.4690956679612421,-0.0042727976083988635,0.0008805859130141553
9,36,-0.4690956679612421,-0.004333155728204642,0.0006390050322745268
9,37,-0.4690956679612421,-0.004380491260672845,0.0004212444970517301
9,38,-0.4690956679612421,-0.004414512366505144,0.00023332781295026933
9,39,-0.4690956679612421,-0.004435009294270918,8.465354925052331e-05
9,40,-0.4690956679612421,-0.00444185567359457,0.0
10,0,-0.46193976625564337,-0.0,0.00892134457237329
10,1,-0.46193976625564337,-8.566877484574391e-06,0.008921152175487205
10,2,-0.46193976625564337,-3.4214692289829055e-05,0.008919559684769672
10,3,-0.46193976625564337,-7.678531710872631e-05,0.008914792464732693
10,4,-0.46193976625564337,-0.00013601628988308773,0.008904904214415121
10,5,-0.46193976625564337,-0.00021154243196946245,0.008887877841002933
10,6,-0.46193976625564337,-0.00030289809958689717,0.008861690288872457
