x_m,z_m,half_breadth_m
0.2625,0.171942859974,0.264421990681
0.2625,0.176968465698,0.249270947537
0.2625,0.182012402498,0.233304765946
0.2625,0.187071632096,0.216453091105
0.2625,0.192143107002,0.198626502514
0.2625,0.197223772347,0.179707602158
0.2625,0.20231056773,0.159535892762
0.2625,0.207400429055,0.137880013928
0.2625,0.212490290381,0.114380927473
0.2625,0.217577085764,0.0884154131919
0.2625,0.222657751109,0.0586662739224
0.2625,0.227729226015,0.0205481076223
0.2625,0.232788455613,0
0.2625,0.237832392413,0
0.2625,0.242857998136,0
0.2625,0.247862245546,0
0.2625,0.252842120271,0
0.2625,0.257794622619,0
0.2625,0.26271676939,0
0.2625,0.267605595666,0
0.2625,0.272458156601,0
0.2625,0.277271529193,0
0.2625,0.282042814048,0
0.2625,0.28676913712,0
0.2625,0.291447651451,0
0.2625,0.296075538878,0
0.2625,0.300650011734,0
0.2625,0.305168314528,0
0.2625,0.309627725605,0
0.2625,0.31402555878,0
0.2625,0.318359164964,0
0.2625,0.322625933754,0
0.2625,0.326823295009,0
0.2625,0.330948720395,0
0.2625,0.33499972491,0
0.2625,0.338973868381,0
0.2625,0.342868756931,0
0.2625,0.346682044427,0
0.2625,0.350411433885,0
0.2625,0.354054678862,0
0.2625,0.357609584802,0
0.2625,0.361074010363,0
0.2625,0.364445868705,0
0.2625,0.367723128747,0
0.2625,0.370903816389,0
0.2625,0.373986015705,0
0.2625,0.376967870092,0
0.2625,0.379847583394,0
0.2625,0.382623420977,0
0.2625,0.385293710783,0
0.2625,0.387856844327,0
0.2625,0.390311277674,0
0.2625,0.392655532366,0
0.2625,0.394888196311,0
0.2625,0.397007924635,0
0.2625,0.399013440494,0
0.2625,0.400903535839,0
0.2625,0.402677072149,0
0.2625,0.404332981111,0
0.2625,0.405870265267,0
0.2625,0.407287998615,0
0.2625,0.408585327165,0
0.2625,0.409761469456,0
0.2625,0.410815717022,0
0.2625,0.411747434826,0
0.2625,0.412556061634,0
0.2625,0.41324111036,0
0.2625,0.413802168357,0
0.2625,0.414238897663,0
0.2625,0.414551035211,0
0.2625,0.414738392979,0
0.2625,0.414800858111,0
0.315,0,0.547732340253
0.315,6.24651316307e-05,0.547732295163
0.315,0.000249822899863,0.547731677677
0.315,0.000561960447384,0.547729149865
0.315,0.000998689754205,0.547722612415
0.315,0.00155974775092,0.547709250451
0.315,0.00224479647718,0.547685567263
0.315,0.00305342328524,0.547647413079
0.315,0.00398514108855,0.547590011499
0.315,0.00503938865514,0.547507984795
0.315,0.0062155309457,0.547395378735
0.315,0.0075128594961,0.547245687266
0.315,0.00893059284412,0.547051877248
0.315,0.0104678770002,0.546806413326
0.315,0.0121237859619,0.546501282955
0.315,0.0138973222715,0.546128021568
0.315,0.0157874176171,0.54567773784
0.315,0.0177929334759,0.545141138974
0.315,0.0199126618001,0.544508555929
0.315,0.0221453257447,0.5437699685
0.315,0.0244895804365,0.542915030151
0.315,0.0269440137839,0.541933092488
0.315,0.0295071473283,0.54081322927
0.315,0.0321774371336,0.539544259844
0.315,0.0349532747173,0.538114771875
0.315,0.0378329880186,0.536513143269
0.315,0.0408148424058,0.534727563144
0.315,0.0438970417214,0.532746051733
0.315,0.0470777293637,0.530556479071
0.315,0.0503549894054,0.528146582327
0.315,0.0537268477477,0.525503981619
0.315,0.0571912733091,0.522616194144
0.315,0.0607461792493,0.519470646435
0.315,0.0643894242258,0.516054684535
